#node	id	node_type	as_dim
n	0	book	0
n	1	film	0
n	2	music	0
n	3	sports	1
n	4	people	1
n	5	location	1
n	6	organization	1
n	7	business	0
#link	id	node_type_1	node_type_2	link_type
l	0	4	6	people.person.nationality
l	1	4	6	business.board_member.leader_of
l	2	4	6	organization.organization_founder.organizations_founded
l	3	4	6	people.person.place_of_birth
l	4	4	6	people.place_lived.location
l	5	4	6	people.marriage.location_of_ceremony
l	6	4	6	people.person.profession
l	7	4	6	business.board_member.organization_board_memberships
l	8	4	6	symbols.name_source.namesakes
l	9	4	6	organization.organization_member.member_of
l	10	4	6	music.artist.genre
l	11	4	6	music.artist.origin
l	12	4	6	music.artist.label
l	13	4	6	people.person.religion
l	14	4	6	people.person.children
l	15	4	6	people.deceased_person.cause_of_death
l	16	4	6	people.person.parents
l	17	4	6	people.deceased_person.place_of_death
l	18	4	6	base.activism.activist.area_of_activism
l	19	4	6	people.deceased_person.place_of_burial
l	20	4	6	people.profession.people_with_this_profession
l	21	4	6	people.place_lived.person
l	22	4	6	organization.organization.leadership
l	23	4	6	people.ethnicity.people
l	24	4	6	people.marriage.spouse
l	25	4	6	education.academic.departments_old
l	26	4	6	organization.role.leaders
l	27	4	6	organization.role.governors
l	28	4	6	people.sibling_relationship.sibling
l	29	4	6	common.topic.subjects
l	30	4	6	influence.influence_node.influenced_by
l	31	4	6	user.robert.us_congress.us_representative.congressional_caucus_memberships
l	32	4	6	organization.organization_sector.organizations_in_this_sector
l	33	4	6	business.industry.companies
l	34	4	6	other
l	35	3	2	martial_arts.martial_artist.martial_art
l	36	3	2	music.composition.recordings
l	37	3	2	sports.sports_team_roster.team
l	38	3	2	sports.pro_sports_played.athlete
l	39	3	2	sports.pro_sports_played.sport
l	40	3	2	location.location.people_born_here
l	41	3	2	location.location.events
l	42	3	2	music.artist.track
l	43	3	2	music.artist.album
l	44	3	2	music.artist.track_contributions
l	45	3	2	other
l	46	3	0	sports.sports_team_roster.team
l	47	3	0	sports.pro_sports_played.sport
l	48	3	0	people.person.nationality
l	49	3	0	people.person.profession
l	50	3	0	sports.sports_team.colors
l	51	3	0	sports.sports_team.sport
l	52	3	0	sports.sports_award.season
l	53	3	0	sports.sports_league.sport
l	54	3	0	cricket.cricket_player.batting_style
l	55	3	0	ice_hockey.hockey_player.shoots
l	56	3	0	people.person.place_of_birth
l	57	3	0	sports.sports_team_season_record.season
l	58	3	0	people.person.ethnicity
l	59	3	0	baseball.baseball_player.bats
l	60	3	0	book.author.works_written
l	61	3	0	people.person.religion
l	62	3	0	people.deceased_person.cause_of_death
l	63	3	0	location.location.people_born_here
l	64	3	0	people.deceased_person.place_of_death
l	65	3	0	olympics.olympic_sport.olympic_games_contested
l	66	3	0	periodicals.newspaper_circulation_area.newspapers
l	67	3	0	location.location.events
l	68	3	0	book.book_subject.works
l	69	3	0	olympics.olympic_venue.olympic_events_contested_here
l	70	3	0	other
l	71	0	4	book.written_work.author
l	72	0	4	book.editorial_tenure.editor
l	73	0	4	people.person.gender
l	74	0	4	people.person.ethnicity
l	75	0	4	people.person.places_lived
l	76	0	4	book.written_work.editor
l	77	0	4	fictional_universe.fictional_character.gender
l	78	0	4	people.person.sibling_s
l	79	0	4	people.person.parents
l	80	0	4	people.person.profession
l	81	0	4	people.person.spouse_s
l	82	0	4	people.deceased_person.cause_of_death
l	83	0	4	book.written_work.subjects
l	84	0	4	people.profession.people_with_this_profession
l	85	0	4	people.profession.specialization_of
l	86	0	4	education.academic.advisors
l	87	0	4	education.academic.advisees
l	88	0	4	people.person.children
l	89	0	4	base.culturalevent.event.entity_involved
l	90	0	4	people.profession.specializations
l	91	0	4	common.topic.subject_of
l	92	0	4	people.deceased_person.place_of_burial
l	93	0	4	medicine.medical_specialty.diseases_treated
l	94	0	4	book.book.interior_illustrations_by
l	95	0	4	music.genre.artists
l	96	0	4	fictional_universe.fictional_character.character_created_by
l	97	0	4	book.book_edition.author_editor
l	98	0	4	book.literary_series.author_s
l	99	0	4	spaceflight.space_mission.astronauts
l	100	0	4	fictional_universe.fictional_character.occupation
l	101	0	4	theater.play.lyricist
l	102	0	4	influence.influence_node.influenced
l	103	0	4	influence.influence_node.influenced_by
l	104	0	4	organization.organization.founders
l	105	0	4	theater.play.composer
l	106	0	4	military.military_conflict.military_personnel_involved
l	107	0	4	visual_art.visual_artist.art_forms
l	108	0	4	book.magazine_issue.cover_artist
l	109	0	4	law.invention.inventor
l	110	0	4	location.location.people_born_here
l	111	0	4	book.translation.translator
l	112	0	4	book.book_edition.contributing_authors
l	113	0	4	book.school_or_movement.associated_authors
l	114	0	4	visual_art.art_period_movement.associated_artists
l	115	0	4	music.instrument.instrumentalists
l	116	0	4	medicine.disease.notable_people_with_this_condition
l	117	0	4	people.family.members
l	118	0	4	base.activism.activism_issue.activists
l	119	0	4	people.cause_of_death.people
l	120	0	4	visual_art.visual_art_form.artists
l	121	0	4	people.ethnicity.people
l	122	0	4	user.alexander.philosophy.subject.philosophers
l	123	0	4	event.disaster.victims
l	124	0	4	music.record_label.artist
l	125	0	4	other
l	126	1	4	film.film_crew_gig.crewmember
l	127	1	4	people.person.gender
l	128	1	4	film.performance.actor
l	129	1	4	film.film_crew_gig.film_crew_role
l	130	1	4	film.film.directed_by
l	131	1	4	film.personal_film_appearance.person
l	132	1	4	people.person.profession
l	133	1	4	film.film.produced_by
l	134	1	4	film.film.cinematography
l	135	1	4	film.film.edited_by
l	136	1	4	fictional_universe.fictional_character.gender
l	137	1	4	film.film.music
l	138	1	4	film.film.executive_produced_by
l	139	1	4	film.film.written_by
l	140	1	4	film.film.film_casting_director
l	141	1	4	film.film.film_production_design_by
l	142	1	4	film.film.story_by
l	143	1	4	film.film.costume_design_by
l	144	1	4	people.person.sibling_s
l	145	1	4	people.person.spouse_s
l	146	1	4	people.person.children
l	147	1	4	people.person.parents
l	148	1	4	film.dubbing_performance.actor
l	149	1	4	people.person.places_lived
l	150	1	4	influence.influence_node.influenced
l	151	1	4	film.film.film_set_decoration_by
l	152	1	4	people.deceased_person.cause_of_death
l	153	1	4	people.person.ethnicity
l	154	1	4	film.film.film_art_direction_by
l	155	1	4	location.location.people_born_here
l	156	1	4	fictional_universe.fictional_character.occupation
l	157	1	4	fictional_universe.fictional_character.based_on
l	158	1	4	influence.influence_node.influenced_by
l	159	1	4	people.profession.people_with_this_profession
l	160	1	4	fictional_universe.fictional_character.character_created_by
l	161	1	4	military.military_conflict.military_personnel_involved
l	162	1	4	music.genre.artists
l	163	1	4	people.cause_of_death.people
l	164	1	4	other
l	165	7	4	business.employment_tenure.person
l	166	7	4	music.release.format
l	167	7	4	people.person.gender
l	168	7	4	common.topic.subject_of
l	169	7	4	business.business_operation.industry
l	170	7	4	organization.organization.sectors
l	171	7	4	symbols.namesake.named_after
l	172	7	4	common.topic.subjects
l	173	7	4	organization.organization.founders
l	174	7	4	business.employment_tenure.title
l	175	7	4	people.person.profession
l	176	7	4	location.location.people_born_here
l	177	7	4	music.record_label.artist
l	178	7	4	architecture.structure.architect
l	179	7	4	music.release.producers
l	180	7	4	people.person.places_lived
l	181	7	4	business.sponsorship.sponsored_recipient
l	182	7	4	business.employment_tenure.company
l	183	7	4	people.person.spouse_s
l	184	7	4	people.person.children
l	185	7	4	people.person.parents
l	186	7	4	base.bioventurist.science_or_technology_company.develops_treatments_for_disease
l	187	7	4	people.person.sibling_s
l	188	7	4	book.book_edition.author_editor
l	189	7	4	people.person.ethnicity
l	190	7	4	people.profession.people_with_this_profession
l	191	7	4	education.department.academics_old
l	192	7	4	people.appointed_role.appointment
l	193	7	4	business.holding.holder
l	194	7	4	people.place_of_interment.interred_here
l	195	7	4	organization.organization.advisors
l	196	7	4	visual_art.art_period_movement.associated_artists
